dia,ano_referencia,mes_referencia,num_revisao,nom_semanaoperativa,cod_modelos,id_subsistema,nom_subsistema,nom_usina,val_cvu
2023-12-30,2024,1,0,PMO Janeiro 2024,204,N,NORTE,JARAQUI,0.0
2023-12-31,2024,1,0,PMO Janeiro 2024,204,N,NORTE,JARAQUI,0.0
2024-01-01,2024,1,0,PMO Janeiro 2024,204,N,NORTE,JARAQUI,0.0
2024-01-02,2024,1,0,PMO Janeiro 2024,204,N,NORTE,JARAQUI,0.0
2024-01-03,2024,1,0,PMO Janeiro 2024,204,N,NORTE,JARAQUI,0.0
2024-01-04,2024,1,0,PMO Janeiro 2024,204,N,NORTE,JARAQUI,0.0
2024-01-05,2024,1,0,PMO Janeiro 2024,204,N,NORTE,JARAQUI,0.0
2023-12-30,2024,1,0,PMO Janeiro 2024,209,N,NORTE,TAMBAQUI,0.0
2023-12-31,2024,1,0,PMO Janeiro 2024,209,N,NORTE,TAMBAQUI,0.0
2024-01-01,2024,1,0,PMO Janeiro 2024,209,N,NORTE,TAMBAQUI,0.0
2024-01-02,2024,1,0,PMO Janeiro 2024,209,N,NORTE,TAMBAQUI,0.0
2024-01-03,2024,1,0,PMO Janeiro 2024,209,N,NORTE,TAMBAQUI,0.0
2024-01-04,2024,1,0,PMO Janeiro 2024,209,N,NORTE,TAMBAQUI,0.0
2024-01-05,2024,1,0,PMO Janeiro 2024,209,N,NORTE,TAMBAQUI,0.0
2023-12-30,2024,1,0,PMO Janeiro 2024,205,N,NORTE,MANAUARA,0.0
2023-12-31,2024,1,0,PMO Janeiro 2024,205,N,NORTE,MANAUARA,0.0
2024-01-01,2024,1,0,PMO Janeiro 2024,205,N,NORTE,MANAUARA,0.0
2024-01-02,2024,1,0,PMO Janeiro 2024,205,N,NORTE,MANAUARA,0.0
2024-01-03,2024,1,0,PMO Janeiro 2024,205,N,NORTE,MANAUARA,0.0
2024-01-04,2024,1,0,PMO Janeiro 2024,205,N,NORTE,MANAUARA,0.0
2024-01-05,2024,1,0,PMO Janeiro 2024,205,N,NORTE,MANAUARA,0.0
2023-12-30,2024,1,0,PMO Janeiro 2024,203,N,NORTE,C. ROCHA,0.0
2023-12-31,2024,1,0,PMO Janeiro 2024,203,N,NORTE,C. ROCHA,0.0
2024-01-01,2024,1,0,PMO Janeiro 2024,203,N,NORTE,C. ROCHA,0.0
