dia;dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;204;N;NORTE;JARAQUI;0.0
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;204;N;NORTE;JARAQUI;0.0
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;204;N;NORTE;JARAQUI;0.0
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;204;N;NORTE;JARAQUI;0.0
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;204;N;NORTE;JARAQUI;0.0
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;204;N;NORTE;JARAQUI;0.0
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;204;N;NORTE;JARAQUI;0.0
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;209;N;NORTE;TAMBAQUI;0.0
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;209;N;NORTE;TAMBAQUI;0.0
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;209;N;NORTE;TAMBAQUI;0.0
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;209;N;NORTE;TAMBAQUI;0.0
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;209;N;NORTE;TAMBAQUI;0.0
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;209;N;NORTE;TAMBAQUI;0.0
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;209;N;NORTE;TAMBAQUI;0.0
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;205;N;NORTE;MANAUARA;0.0
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;205;N;NORTE;MANAUARA;0.0
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;205;N;NORTE;MANAUARA;0.0
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;205;N;NORTE;MANAUARA;0.0
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;205;N;NORTE;MANAUARA;0.0
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;205;N;NORTE;MANAUARA;0.0
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;205;N;NORTE;MANAUARA;0.0
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;203;N;NORTE;C. ROCHA;0.0
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;203;N;NORTE;C. ROCHA;0.0
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;203;N;NORTE;C. ROCHA;0.0
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;203;N;NORTE;C. ROCHA;0.0
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;203;N;NORTE;C. ROCHA;0.0
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;203;N;NORTE;C. ROCHA;0.0
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;203;N;NORTE;C. ROCHA;0.0
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;207;N;NORTE;PONTA NEGR;0.0
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;207;N;NORTE;PONTA NEGR;0.0
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;207;N;NORTE;PONTA NEGR;0.0
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;207;N;NORTE;PONTA NEGR;0.0
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;207;N;NORTE;PONTA NEGR;0.0
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;207;N;NORTE;PONTA NEGR;0.0
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;207;N;NORTE;PONTA NEGR;0.0
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;140;N;NORTE;UTE MAUA 3;12.933
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;140;N;NORTE;UTE MAUA 3;12.933
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;140;N;NORTE;UTE MAUA 3;12.933
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;140;N;NORTE;UTE MAUA 3;12.933
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;140;N;NORTE;UTE MAUA 3;12.933
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;140;N;NORTE;UTE MAUA 3;12.933
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;140;N;NORTE;UTE MAUA 3;12.933
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;201;N;NORTE;APARECIDA;12.933
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;201;N;NORTE;APARECIDA;12.933
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;201;N;NORTE;APARECIDA;12.933
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;201;N;NORTE;APARECIDA;12.933
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;201;N;NORTE;APARECIDA;12.933
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;201;N;NORTE;APARECIDA;12.933
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;201;N;NORTE;APARECIDA;12.933
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;212;N;NORTE;MARANHAO3;15.124
