dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;204;N;NORTE;JARAQUI;0.00
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;209;N;NORTE;TAMBAQUI;0.00
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;205;N;NORTE;MANAUARA;0.00
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;203;N;NORTE;C. ROCHA;0.00
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;207;N;NORTE;PONTA NEGR;0.00
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;140;N;NORTE;UTE MAUA 3;90.53
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;201;N;NORTE;APARECIDA;90.53
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;212;N;NORTE;MARANHAO3;105.87
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;116;N;NORTE;PARNAIB_IV;151.69
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;21;N;NORTE;MARANHAO V;160.27
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;36;N;NORTE;MARANHAOIV;160.27
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;239;N;NORTE;PARNAIBA_V;196.74
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;46;N;NORTE;N.VENECIA2;286.88
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;176;N;NORTE;P. ITAQUI;344.68
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;73;N;NORTE;GERAMAR1;1020.40
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;70;N;NORTE;GERAMAR2;1020.40
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;106;NE;NORDESTE;ERB CANDEI;108.45
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;147;NE;NORDESTE;PROSPERIDA;204.55
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;223;NE;NORDESTE;PROSP_III;208.41
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;96;NE;NORDESTE;TERMOPE;233.52
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;224;NE;NORDESTE;PSERGIPE I;344.73
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;167;NE;NORDESTE;P.PECEM1;346.06
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;163;NE;NORDESTE;P.PECEM2;352.39
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;241;NE;NORDESTE;PROSP_II;371.90
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;83;NE;NORDESTE;JS_PEREIRA;450.86
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;221;NE;NORDESTE;SYKUE I;510.12
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;58;NE;NORDESTE;TERMOCEARA;567.83
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;43;NE;NORDESTE;C.FURTADO;778.11
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;98;NE;NORDESTE;PERNAMBU_3;876.41
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;164;NE;NORDESTE;MURICY;989.46
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;112;NE;NORDESTE;BAHIA_1;989.66
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;166;NE;NORDESTE;AREMBEPE;989.96
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;57;NE;NORDESTE;MARACANAU;990.46
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;152;NE;NORDESTE;TERMOCABO;1008.00
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;67;NE;NORDESTE;TERMONE;1013.19
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;69;NE;NORDESTE;TERMOPB;1013.19
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;52;NE;NORDESTE;CAMPINA_GR;1020.44
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;170;NE;NORDESTE;SUAPE II;1038.29
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;53;NE;NORDESTE;GLOBAL I;1156.69
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;55;NE;NORDESTE;GLOBAL II;1156.69
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;144;NE;NORDESTE;PETROLINA;1888.33
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;161;NE;NORDESTE;POTIGUAR_3;2313.25
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;151;NE;NORDESTE;POTIGUAR;2313.27
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;159;NE;NORDESTE;TERMOMANAU;2752.20
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;160;NE;NORDESTE;PAU FERRO;2752.20
2023-12-30;2024-01-05;2024;1;0;PMO Janeiro 2024;35;S;SUL;URUGUAIANA;0.00
