dat_iniciosemana;dat_fimsemana;nom_usina;val_cvu
30/12/2023;05/01/2024;JARAQUI;0.00
30/12/2023;05/01/2024;TAMBAQUI;0.00
30/12/2023;05/01/2024;MANAUARA;0.00
30/12/2023;05/01/2024;C. ROCHA;0.00
30/12/2023;05/01/2024;PONTA NEGR;0.00
30/12/2023;05/01/2024;UTE MAUA 3;90.53
30/12/2023;05/01/2024;APARECIDA;90.53
30/12/2023;05/01/2024;MARANHAO3;105.87
30/12/2023;05/01/2024;PARNAIB_IV;151.69
30/12/2023;05/01/2024;MARANHAO V;160.27
30/12/2023;05/01/2024;MARANHAOIV;160.27
30/12/2023;05/01/2024;PARNAIBA_V;196.74
30/12/2023;05/01/2024;N.VENECIA2;286.88
30/12/2023;05/01/2024;P. ITAQUI;344.68
30/12/2023;05/01/2024;GERAMAR1;1020.40
30/12/2023;05/01/2024;GERAMAR2;1020.40
30/12/2023;05/01/2024;ERB CANDEI;108.45
30/12/2023;05/01/2024;PROSPERIDA;204.55
30/12/2023;05/01/2024;PROSP_III;208.41
30/12/2023;05/01/2024;TERMOPE;233.52
30/12/2023;05/01/2024;PSERGIPE I;344.73
30/12/2023;05/01/2024;P.PECEM1;346.06
30/12/2023;05/01/2024;P.PECEM2;352.39
30/12/2023;05/01/2024;PROSP_II;371.90
30/12/2023;05/01/2024;JS_PEREIRA;450.86
30/12/2023;05/01/2024;SYKUE I;510.12
30/12/2023;05/01/2024;TERMOCEARA;567.83
30/12/2023;05/01/2024;C.FURTADO;778.11
30/12/2023;05/01/2024;PERNAMBU_3;876.41
30/12/2023;05/01/2024;MURICY;989.46
30/12/2023;05/01/2024;BAHIA_1;989.66
30/12/2023;05/01/2024;AREMBEPE;989.96
30/12/2023;05/01/2024;MARACANAU;990.46
30/12/2023;05/01/2024;TERMOCABO;1008.00
30/12/2023;05/01/2024;TERMONE;1013.19
30/12/2023;05/01/2024;TERMOPB;1013.19
30/12/2023;05/01/2024;CAMPINA_GR;1020.44
30/12/2023;05/01/2024;SUAPE II;1038.29
30/12/2023;05/01/2024;GLOBAL I;1156.69
30/12/2023;05/01/2024;GLOBAL II;1156.69
30/12/2023;05/01/2024;PETROLINA;1888.33
30/12/2023;05/01/2024;POTIGUAR_3;2313.25
30/12/2023;05/01/2024;POTIGUAR;2313.27
30/12/2023;05/01/2024;TERMOMANAU;2752.20
30/12/2023;05/01/2024;PAU FERRO;2752.20
30/12/2023;05/01/2024;URUGUAIANA;0.00
30/12/2023;05/01/2024;PAMPA SUL;86.15
30/12/2023;05/01/2024;CANDIOTA_3;108.24
30/12/2023;05/01/2024;SAO SEPE;108.38
30/12/2023;05/01/2024;J.LACER. C;311.53
30/12/2023;05/01/2024;FIGUEIRA;330.64
30/12/2023;05/01/2024;J.LACER. B;362.67
30/12/2023;05/01/2024;J.LAC. A2;372.62
30/12/2023;05/01/2024;MADEIRA;387.30
30/12/2023;05/01/2024;J.LAC. A1;434.59
30/12/2023;05/01/2024;B.BONITA I;742.99
30/12/2023;05/01/2024;S.TIARAJU;1221.27
30/12/2023;05/01/2024;ARAUCARIA;2305.34
30/12/2023;05/01/2024;ATLAN_CSA;0.00
30/12/2023;05/01/2024;GOIANIA 2;0.00
30/12/2023;05/01/2024;CUIABA CC;0.00
30/12/2023;05/01/2024;W.ARJONA O;0.00
30/12/2023;05/01/2024;DAIA;0.00
30/12/2023;05/01/2024;ANGRA 2;20.12
30/12/2023;05/01/2024;ANGRA 1;31.17
30/12/2023;05/01/2024;NORTEFLU 1;101.20
30/12/2023;05/01/2024;NORTEFLU 2;118.40
30/12/2023;05/01/2024;O.PINTADA;138.91
30/12/2023;05/01/2024;UTE STA VI;150.06
30/12/2023;05/01/2024;M.AZUL;152.79
30/12/2023;05/01/2024;BAIXADA FL;168.73
30/12/2023;05/01/2024;SANTA CRUZ;171.87
30/12/2023;05/01/2024;NORTEFLU 3;225.44
30/12/2023;05/01/2024;ATLANTICO;240.71
